call_id,caller_number,called_number,call_date,call_time,duration_sec,call_type,cell_tower_id,tower_location,district,imei_caller,imsi_caller,operator
BEED_CDR_014,9765432100,9821001002,2025-09-15,11:00:00,110,OUTGOING,TW-PUN-088,Pune Kothrud,Pune,357002345678901,404010002002002,Airtel
BEED_CDR_015,9824004001,9765432100,2025-09-18,12:15:00,678,INCOMING,TW-NSK-011,Nashik Road,Nashik,361006789012345,404010006006006,JioSIM
BEED_CDR_016,9765432100,9821001002,2025-09-18,12:26:00,95,OUTGOING,TW-PUN-091,Pune Shivajinagar,Pune,357002345678901,404010002002002,Airtel
BEED_CDR_017,9825005001,9765432100,2025-09-22,08:55:00,756,INCOMING,TW-SOL-002,Solapur City,Solapur,362007890123456,404010007007007,Vi
BEED_CDR_018,9765432100,9833001003,2025-09-22,09:08:00,80,OUTGOING,TW-PUN-088,Pune Kothrud,Pune,357002345678901,404010002002002,Airtel
BEED_CDR_019,9826006001,9765432100,2025-09-25,15:30:00,940,INCOMING,TW-KOL-076,Kolhapur South,Kolhapur,363008901234567,404010008008008,BSNL
BEED_CDR_020,9765432100,9821001002,2025-09-25,15:46:00,105,OUTGOING,TW-PUN-088,Pune Kothrud,Pune,357002345678901,404010002002002,Airtel
BEED_CDR_021,9827007001,9765432100,2025-10-03,13:00:00,1120,INCOMING,TW-LAT-009,Latur Main,Latur,364009012345678,404010009009009,JioSIM
BEED_CDR_022,9765432100,9821001002,2025-10-03,13:19:00,130,OUTGOING,TW-PUN-088,Pune Kothrud,Pune,357002345678901,404010002002002,Airtel
BEED_CDR_023,9828008001,9765432100,2025-10-10,10:00:00,895,INCOMING,TW-AMR-044,Amravati East,Amravati,365000123456789,404010010010010,Airtel
BEED_CDR_024,9765432100,9833001003,2025-10-10,10:15:00,88,OUTGOING,TW-PUN-091,Pune Shivajinagar,Pune,357002345678901,404010002002002,Airtel
BEED_CDR_025,9829009001,9765432100,2025-10-17,16:45:00,670,INCOMING,TW-SAT-019,Satara Road,Satara,356001234567891,404010011011011,Vi
BEED_CDR_026,9765432100,9821001002,2025-10-17,16:56:00,95,OUTGOING,TW-PUN-088,Pune Kothrud,Pune,357002345678901,404010002002002,Airtel
BEED_CDR_027,9830010001,9765432100,2025-11-05,11:10:00,812,INCOMING,TW-THN-033,Thane West,Thane,357002345678902,404010012012012,JioSIM
BEED_CDR_028,9765432100,9821001002,2025-11-05,11:24:00,120,OUTGOING,TW-PUN-088,Pune Kothrud,Pune,357002345678901,404010002002002,Airtel
BEED_CDR_029,9831011001,9765432100,2025-11-12,09:30:00,758,INCOMING,TW-RGD-005,Raigad Alibaug,Raigad,358003456789013,404010013013013,BSNL
BEED_CDR_030,9832012001,9765432100,2025-11-20,14:20:00,603,INCOMING,TW-ACK-028,Akola City,Akola,359004567890124,404010014014014,Airtel
BEED_CDR_031,9765432100,9821001002,2025-11-20,14:30:00,88,OUTGOING,TW-PUN-088,Pune Kothrud,Pune,357002345678901,404010002002002,Airtel
BEED_CDR_032,9876001001,9765432100,2025-12-01,10:05:00,1230,INCOMING,TW-BED-014,Beed City,Beed,356001234567890,404010001001001,JioSIM
BEED_CDR_033,9765432100,9821001002,2025-12-01,10:26:00,145,OUTGOING,TW-PUN-088,Pune Kothrud,Pune,357002345678901,404010002002002,Airtel
BEED_CDR_034,9821001002,9833001003,2025-12-01,10:29:00,62,OUTGOING,TW-PUN-088,Pune Kothrud,Pune,357002345678901,404010002002002,Airtel
BEED_CDR_035,9833001003,9820001004,2025-12-01,10:30:30,40,OUTGOING,TW-MUM-202,Mumbai Andheri,Mumbai,358003456789012,404010003003003,Vi
BEED_CDR_036,9876001001,9765432100,2026-01-10,13:15:00,945,INCOMING,TW-BED-014,Beed City,Beed,356001234567890,404010001001001,JioSIM
BEED_CDR_037,9765432100,9821001002,2026-01-10,13:31:00,107,OUTGOING,TW-PUN-091,Pune Shivajinagar,Pune,357002345678901,404010002002002,Airtel
BEED_CDR_038,9876001001,9765432100,2026-02-14,15:00:00,1560,INCOMING,TW-BED-017,Beed Bypass,Beed,356001234567890,404010001001001,JioSIM
BEED_CDR_039,9765432100,9821001002,2026-02-14,15:26:00,138,OUTGOING,TW-PUN-088,Pune Kothrud,Pune,357002345678901,404010002002002,Airtel
BEED_CDR_040,9821001002,9820001004,2026-02-14,15:28:40,58,OUTGOING,TW-MUM-205,Mumbai Malad,Mumbai,358003456789012,404010003003003,Vi
BEED_CDR_041,9876001001,9765432100,2026-03-05,09:40:00,723,INCOMING,TW-BED-014,Beed City,Beed,356001234567890,404010001001001,JioSIM
BEED_CDR_042,9765432100,9821001002,2026-03-05,09:52:00,115,OUTGOING,TW-PUN-088,Pune Kothrud,Pune,357002345678901,404010002002002,Airtel
BEED_CDR_043,9876001001,9765432100,2026-04-01,11:30:00,850,INCOMING,TW-BED-014,Beed City,Beed,356001234567890,404010001001001,JioSIM
BEED_CDR_044,9765432100,9821001002,2026-04-01,11:44:00,125,OUTGOING,TW-PUN-088,Pune Kothrud,Pune,357002345678901,404010002002002,Airtel
BEED_CDR_045,9821001002,9833001003,2026-04-01,11:46:00,70,OUTGOING,TW-PUN-088,Pune Kothrud,Pune,357002345678901,404010002002002,Airtel
BEED_CDR_046,9833001003,9820001004,2026-04-01,11:47:10,35,OUTGOING,TW-MUM-202,Mumbai Andheri,Mumbai,358003456789012,404010003003003,Vi
BEED_CDR_047,9820001004,9876001001,2026-04-01,12:05:00,290,OUTGOING,TW-MUM-202,Mumbai Andheri,Mumbai,358003456789012,404010003003003,Vi
BEED_CDR_048,9765432100,9820001004,2026-04-10,16:00:00,180,OUTGOING,TW-PUN-088,Pune Kothrud,Pune,357002345678901,404010002002002,Airtel
BEED_CDR_049,9820001004,9833001003,2026-04-10,16:03:30,60,OUTGOING,TW-MUM-205,Mumbai Malad,Mumbai,358003456789012,404010003003003,Vi
BEED_CDR_050,9876001001,9765432100,2026-04-15,10:00:00,620,INCOMING,TW-BED-014,Beed City,Beed,356001234567890,404010001001001,JioSIM
