txn_id,txn_date,txn_time,txn_type,sender_account,sender_name,sender_bank,receiver_account,receiver_name,receiver_bank,amount,currency,upi_id,remarks,status,ip_address,device_fingerprint,nccrp_complaint_id
TXN_BD_011,2025-09-18,12:20:00,UPI_TRANSFER,VIC_NSK_004,Victim Nashik,CANARA,ACC_BEED_MULE01,Mule Account Primary,HDFC,850000,INR,mulebeed@upi,Part Time Job Task Fee,SUCCESS,103.21.45.67,DA:7F:32:91:BC:44,NCCRP-2025-MH-00205
TXN_BD_012,2025-09-18,12:25:00,IMPS,ACC_BEED_MULE01,Mule Account Primary,HDFC,ACC_CSN_MULE04,Mule Layer-2 Sambhajinagar,KOTAK,840000,INR,,Immediate transfer,SUCCESS,103.21.45.67,DA:7F:32:91:BC:44,NCCRP-2025-MH-00205
TXN_BD_013,2025-09-22,09:00:00,NEFT,VIC_SOL_005,Victim Solapur,UNION,ACC_BEED_MULE01,Mule Account Primary,HDFC,1500000,INR,,Crypto Investment Deposit,SUCCESS,103.21.45.67,DA:7F:32:91:BC:44,NCCRP-2025-MH-00230
TXN_BD_014,2025-09-22,09:05:00,IMPS,ACC_BEED_MULE01,Mule Account Primary,HDFC,ACC_PUN_MULE02,Mule Layer-2 Pune,ICICI,1480000,INR,,Split transfer,SUCCESS,103.21.45.67,DA:7F:32:91:BC:44,NCCRP-2025-MH-00230
TXN_BD_015,2025-09-25,15:35:00,RTGS,VIC_KOL_006,Victim Kolhapur,IDBI,ACC_BEED_MULE01,Mule Account Primary,HDFC,3200000,INR,,Customs Duty Clearance,SUCCESS,157.16.62.20,F1:22:48:AA:BC:91,NCCRP-2025-MH-00275
TXN_BD_016,2025-09-25,15:40:00,IMPS,ACC_BEED_MULE01,Mule Account Primary,HDFC,ACC_MUM_MULE03,Mule Layer-2 Mumbai,PNB,3150000,INR,,Rapid outward,SUCCESS,157.16.62.20,F1:22:48:AA:BC:91,NCCRP-2025-MH-00275
TXN_BD_017,2025-10-03,13:05:00,NEFT,VIC_LAT_007,Victim Latur,SBI,ACC_BEED_MULE01,Mule Account Primary,HDFC,1800000,INR,,Share Market IPO Allocation,SUCCESS,103.21.45.67,DA:7F:32:91:BC:44,NCCRP-2025-MH-00310
TXN_BD_018,2025-10-03,13:10:00,IMPS,ACC_BEED_MULE01,Mule Account Primary,HDFC,ACC_PUN_MULE02,Mule Layer-2 Pune,ICICI,1780000,INR,,Outward pass,SUCCESS,103.21.45.67,DA:7F:32:91:BC:44,NCCRP-2025-MH-00310
TXN_BD_019,2025-10-10,10:05:00,UPI_TRANSFER,VIC_AMR_008,Victim Amravati,HDFC,ACC_BEED_MULE01,Mule Account Primary,HDFC,950000,INR,mulebeed@upi,Loan Approval Processing Fee,SUCCESS,103.21.45.67,DA:7F:32:91:BC:44,NCCRP-2025-MH-00345
TXN_BD_020,2025-10-17,16:50:00,RTGS,VIC_SAT_009,Victim Satara,AXIS,ACC_BEED_MULE01,Mule Account Primary,HDFC,4100000,INR,,Forex Trading Deposit,SUCCESS,157.16.62.20,F1:22:48:AA:BC:91,NCCRP-2025-MH-00390
TXN_BD_021,2025-10-17,16:55:00,IMPS,ACC_BEED_MULE01,Mule Account Primary,HDFC,ACC_MUM_MULE03,Mule Layer-2 Mumbai,PNB,4050000,INR,,Layering transfer,SUCCESS,157.16.62.20,F1:22:48:AA:BC:91,NCCRP-2025-MH-00390
TXN_BD_022,2025-11-05,11:15:00,NEFT,VIC_THN_010,Victim Thane,KOTAK,ACC_BEED_MULE01,Mule Account Primary,HDFC,2700000,INR,,Electricity Bill Update Scam,SUCCESS,103.21.45.67,DA:7F:32:91:BC:44,NCCRP-2025-MH-00420
TXN_BD_023,2025-11-12,09:35:00,UPI_TRANSFER,VIC_RGD_011,Victim Raigad,SBI,ACC_BEED_MULE01,Mule Account Primary,HDFC,650000,INR,mulebeed@upi,KYC Update Verification,SUCCESS,103.21.45.67,DA:7F:32:91:BC:44,NCCRP-2025-MH-00465
TXN_BD_024,2025-11-20,14:25:00,RTGS,VIC_ACK_012,Victim Akola,BOB,ACC_BEED_MULE01,Mule Account Primary,HDFC,3500000,INR,,Digital Arrest Security Deposit,SUCCESS,157.16.62.20,F1:22:48:AA:BC:91,NCCRP-2025-MH-00510
TXN_BD_025,2025-12-01,10:10:00,NEFT,VIC_BED_001,Victim Beed Res,SBI,ACC_BEED_MULE01,Mule Account Primary,HDFC,1500000,INR,,Second Tranche Investment,SUCCESS,103.21.45.67,DA:7F:32:91:BC:44,NCCRP-2025-MH-00128
TXN_BD_026,2026-01-10,13:20:00,RTGS,VIC_NGP_002,Victim Nagpur,AXIS,ACC_BEED_MULE01,Mule Account Primary,HDFC,4800000,INR,,VIP Crypto Package,SUCCESS,157.16.62.20,F1:22:48:AA:BC:91,NCCRP-2025-MH-00142
TXN_BD_027,2026-02-14,15:05:00,NEFT,VIC_AUR_003,Victim Chhatrapati Sambhajinagar,BOB,ACC_BEED_MULE01,Mule Account Primary,HDFC,2200000,INR,,High Yield Investment Fund,SUCCESS,103.21.45.67,DA:7F:32:91:BC:44,NCCRP-2025-MH-00189
TXN_BD_028,2026-03-05,09:45:00,RTGS,VIC_NSK_004,Victim Nashik,CANARA,ACC_BEED_MULE01,Mule Account Primary,HDFC,5100000,INR,,Emergency Bail Clearance,SUCCESS,157.16.62.20,F1:22:48:AA:BC:91,NCCRP-2025-MH-00205
TXN_BD_029,2026-04-01,11:35:00,NEFT,VIC_SOL_005,Victim Solapur,UNION,ACC_BEED_MULE01,Mule Account Primary,HDFC,3300000,INR,,Final Settlement Fee,SUCCESS,103.21.45.67,DA:7F:32:91:BC:44,NCCRP-2025-MH-00230
TXN_BD_030,2026-04-15,10:05:00,ATM_WITHDRAWAL,ACC_BEED_MULE01,Mule Account Primary,HDFC,,,,1000000,INR,,ATM Cash Out Beed,SUCCESS,,,NCCRP-2025-MH-00599
